,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,arrival,departure
40124,5204.0,OITT,large_airport,Tabriz International Airport,38.13389969,46.23500061,4459.0,AS,IR,IR-01,Tabriz,yes,OITT,TBZ,,http://www.tabrizairport.ir/,https://en.wikipedia.org/wiki/Tabriz_International_Airport,IRIAF,208,195
40125,42526.0,OITU,small_airport,Maku National Airport,39.330002,44.43,,AS,IR,IR-02,Showt,yes,OITU,IMQ,,,https://en.wikipedia.org/wiki/Maku_International_Airport,Makou,0,0
40126,5205.0,OITZ,medium_airport,Zanjan Airport,36.77370071,48.3594017,5382.0,AS,IR,IR-11,Zanjan,no,OITZ,JWN,,,https://en.wikipedia.org/wiki/Zanjan_Airport,,5,5
40127,42527.0,OIYB,small_airport,Bafgh Airport,31.58333206,55.56666565,,AS,IR,IR-25,Bafgh,no,OIYB,,,,,,0,0
40128,5206.0,OIYY,medium_airport,Shahid Sadooghi Airport,31.9048996,54.2765007,4054.0,AS,IR,IR-25,Yazd,yes,OIYY,AZD,,,https://en.wikipedia.org/wiki/Shahid_Sadooghi_Airport,,112,104
40129,5207.0,OIZB,medium_airport,Zabol Airport,31.09830093,61.54389954,1628.0,AS,IR,IR-13,,no,OIZB,ACZ,,,https://en.wikipedia.org/wiki/Zabol_Airport,,0,7
40130,5208.0,OIZC,medium_airport,Konarak Airport,25.44330025,60.38209915,43.0,AS,IR,IR-13,Chabahar,yes,OIZC,ZBR,,,https://en.wikipedia.org/wiki/Konarak_Airport,,0,45
40131,5209.0,OIZH,medium_airport,Zahedan International Airport,29.47570038,60.90620041,4564.0,AS,IR,IR-13,Zahedan,yes,OIZH,ZAH,,,https://en.wikipedia.org/wiki/Zahedan_International_Airport,,73,71
40132,5210.0,OIZI,medium_airport,Iran Shahr Airport,27.23609924,60.72000122,2040.0,AS,IR,IR-13,Iranshahr,no,OIZI,IHR,,,https://en.wikipedia.org/wiki/Iranshahr_Airport,,0,2
40133,32107.0,OIZJ,small_airport,Jask Airport,25.653601,57.799301,19.0,AS,IR,IR-23,Jask,yes,OIZJ,JSK,,,https://en.wikipedia.org/wiki/Jask_Airport,,0,3
40134,5211.0,OIZS,small_airport,Saravan Airport,27.41930008,62.31579971,3930.0,AS,IR,IR-13,,no,OIZS,,,,,,0,0
53929,23664.0,US-OI05,small_airport,Nain Military Airport,33.0890007,53.41730118,3550.0,AS,IR,IR-04,,no,,,,,,,0,0
